sha256,labels,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
generated_00000276,0,LdrUnloadDll,GetSystemInfo,NtOpenKey,NtOpenKey,SetUnhandledExceptionFilter,NtCreateFile,NtClose,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,NtQueryValueKey,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000277,0,LdrUnloadDll,NtTerminateProcess,NtCreateSection,LdrGetProcedureAddress,NtOpenKey,SetUnhandledExceptionFilter,NtTerminateProcess,NtClose,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,LdrGetDllHandle,NtFreeVirtualMemory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000278,0,LdrUnloadDll,GetSystemTimeAsFileTime,SetUnhandledExceptionFilter,NtTerminateProcess,NtTerminateProcess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000279,0,LdrUnloadDll,GetSystemInfo,GetFileSize,NtOpenKey,LdrGetProcedureAddress,SetUnhandledExceptionFilter,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,NtAllocateVirtualMemory,GetSystemTimeAsFileTime,NtClose,LdrGetDllHandle,NtQueryValueKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000280,0,NtQueryValueKey,LdrUnloadDll,NtCreateSection,NtOpenKey,LoadStringW,SetUnhandledExceptionFilter,LdrLoadDll,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,NtClose,SizeofResource,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000281,0,LdrUnloadDll,GetSystemInfo,NtCreateSection,NtOpenKey,SetUnhandledExceptionFilter,SetUnhandledExceptionFilter,NtClose,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,LdrGetDllHandle,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000282,0,LdrUnloadDll,LdrUnloadDll,NtOpenKey,NtOpenKey,LdrGetProcedureAddress,SetUnhandledExceptionFilter,NtTerminateProcess,NtClose,NtClose,GetSystemTimeAsFileTime,LdrGetDllHandle,GetSystemTimeAsFileTime,NtQueryValueKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000283,0,LdrUnloadDll,NtReadFile,NtOpenKey,GetSystemTimeAsFileTime,NtCreateFile,NtTerminateProcess,GetSystemTimeAsFileTime,NtClose,NtQueryValueKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000284,0,NtQueryValueKey,LdrUnloadDll,NtOpenKey,NtOpenKey,SetUnhandledExceptionFilter,SetUnhandledExceptionFilter,NtTerminateProcess,GetSystemTimeAsFileTime,LdrGetDllHandle,GetSystemTimeAsFileTime,NtClose,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000285,0,LdrUnloadDll,NtOpenKey,LoadStringW,NtOpenKey,SetUnhandledExceptionFilter,NtTerminateProcess,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,LdrGetDllHandle,NtQueryValueKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000286,0,LdrUnloadDll,GetSystemTimeAsFileTime,NtOpenKey,NtOpenKey,SetUnhandledExceptionFilter,NtTerminateProcess,GetSystemTimeAsFileTime,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000287,0,LdrUnloadDll,NtOpenKey,NtCreateSection,SetUnhandledExceptionFilter,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,LdrGetDllHandle,NtQueryValueKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000288,0,NtQueryValueKey,LdrUnloadDll,RegCloseKey,NtOpenKey,NtClose,SetUnhandledExceptionFilter,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,LdrGetDllHandle,GetSystemTimeAsFileTime,NtTerminateProcess,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000289,0,LdrUnloadDll,GetSystemTimeAsFileTime,CoUninitialize,NtCreateSection,SetUnhandledExceptionFilter,NtClose,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,LdrGetDllHandle,NtTerminateProcess,LdrGetDllHandle,NtQueryAttributesFile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000290,0,LdrUnloadDll,GetSystemTimeAsFileTime,NtOpenKey,SetUnhandledExceptionFilter,NtClose,GetSystemTimeAsFileTime,LdrGetDllHandle,NtQueryValueKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000291,0,NtQueryValueKey,LdrUnloadDll,RegCloseKey,RegCreateKeyExA,NtOpenKey,NtTerminateProcess,NtClose,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,LdrGetDllHandle,SetUnhandledExceptionFilter,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000292,0,NtQueryValueKey,LdrUnloadDll,NtOpenKey,LoadStringW,LdrGetProcedureAddress,SetUnhandledExceptionFilter,NtOpenKey,NtClose,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,LdrGetDllHandle,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000293,0,LdrUnloadDll,LdrUnloadDll,NtOpenKey,NtOpenKey,LdrGetProcedureAddress,NtTerminateProcess,SetUnhandledExceptionFilter,NtCreateFile,LdrGetDllHandle,NtTerminateProcess,NtClose,GetSystemTimeAsFileTime,NtQueryAttributesFile,NtQueryValueKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000294,0,LdrUnloadDll,CoUninitialize,NtOpenKey,LdrGetProcedureAddress,SetUnhandledExceptionFilter,NtTerminateProcess,NtClose,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,LdrGetDllHandle,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000295,0,LdrUnloadDll,LdrUnloadDll,SetUnhandledExceptionFilter,NtTerminateProcess,LdrGetProcedureAddress,NtClose,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,LdrGetDllHandle,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000296,0,LdrUnloadDll,GetSystemTimeAsFileTime,SetUnhandledExceptionFilter,NtOpenKey,NtTerminateProcess,GetSystemTimeAsFileTime,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000297,0,LdrUnloadDll,GetSystemTimeAsFileTime,SetUnhandledExceptionFilter,NtOpenKey,NtClose,GetSystemTimeAsFileTime,LdrGetDllHandle,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000298,0,LdrUnloadDll,LdrUnloadDll,NtOpenKey,SetUnhandledExceptionFilter,NtTerminateProcess,SetUnhandledExceptionFilter,NtAllocateVirtualMemory,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,NtClose,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000299,0,NtQueryValueKey,LdrUnloadDll,NtCreateSection,NtOpenKey,LdrGetProcedureAddress,SetUnhandledExceptionFilter,NtCreateFile,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,NtClose,LdrGetDllHandle,RegQueryValueExW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000300,0,LdrUnloadDll,CoInitializeEx,NtOpenKey,GetSystemInfo,NtTerminateProcess,MoveFileWithProgressW,GetSystemTimeAsFileTime,NtClose,LdrGetDllHandle,LdrGetDllHandle,NtQueryValueKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000301,0,LdrUnloadDll,GetSystemInfo,NtOpenKey,LdrGetProcedureAddress,LdrGetProcedureAddress,SetUnhandledExceptionFilter,NtCreateFile,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,NtWriteFile,NtClose,NtQueryAttributesFile,LdrGetDllHandle,GetFileAttributesW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000302,0,NtQueryValueKey,LdrUnloadDll,CoUninitialize,NtOpenKey,LoadStringW,NtTerminateProcess,NtClose,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,LdrGetDllHandle,NtQueryAttributesFile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000303,0,NtQueryValueKey,LdrUnloadDll,NtOpenKey,NtTerminateProcess,NtClose,NtTerminateProcess,GetSystemTimeAsFileTime,LdrGetDllHandle,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000304,0,RegCreateKeyExW,LdrUnloadDll,RegCloseKey,NtOpenKey,SetUnhandledExceptionFilter,SetUnhandledExceptionFilter,NtClose,GetSystemTimeAsFileTime,NtClose,LdrGetDllHandle,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000305,0,LdrUnloadDll,NtQuerySystemInformation,NtOpenKey,FindResourceW,GetSystemTimeAsFileTime,NtClose,NtTerminateProcess,LdrGetDllHandle,NtQueryValueKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000306,0,NtQueryValueKey,LdrUnloadDll,NtOpenKey,NtOpenKey,LdrGetProcedureAddress,SetUnhandledExceptionFilter,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,LdrGetDllHandle,WriteConsoleW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000307,0,LdrUnloadDll,GetSystemTimeAsFileTime,NtOpenKey,NtTerminateProcess,SetUnhandledExceptionFilter,NtTerminateProcess,GetSystemTimeAsFileTime,LdrGetDllHandle,LdrGetDllHandle,NtQueryValueKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000308,0,LdrUnloadDll,SetUnhandledExceptionFilter,NtOpenKey,SetUnhandledExceptionFilter,NtClose,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000309,0,LdrUnloadDll,NtOpenKey,SetUnhandledExceptionFilter,NtTerminateProcess,SetUnhandledExceptionFilter,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000310,0,LdrUnloadDll,NtOpenKey,NtCreateSection,LdrGetProcedureAddress,SetUnhandledExceptionFilter,SetUnhandledExceptionFilter,GetSystemTimeAsFileTime,NtClose,NtClose,NtTerminateProcess,LdrGetDllHandle,LdrGetDllHandle,NtQueryValueKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000311,0,NtQueryValueKey,LdrUnloadDll,GetFileSize,NtOpenKey,LdrGetProcedureAddress,NtTerminateProcess,NtClose,NtTerminateProcess,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,LdrGetDllHandle,GetFileAttributesW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000312,0,LdrUnloadDll,GetSystemTimeAsFileTime,SetUnhandledExceptionFilter,NtOpenKey,GetSystemTimeAsFileTime,NtTerminateProcess,LdrGetDllHandle,NtQueryValueKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000313,0,LdrUnloadDll,LoadStringW,SetUnhandledExceptionFilter,NtOpenKey,NtTerminateProcess,GetSystemTimeAsFileTime,NtClose,LdrGetDllHandle,NtQueryValueKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000314,0,LdrUnloadDll,NtDuplicateObject,LoadStringW,SetUnhandledExceptionFilter,NtOpenKey,NtTerminateProcess,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,NtClose,NtQueryValueKey,RegQueryValueExW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000315,0,LdrUnloadDll,NtOpenKey,SetUnhandledExceptionFilter,SetUnhandledExceptionFilter,NtOpenKey,NtClose,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,LdrGetDllHandle,NtQueryValueKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000316,0,LdrUnloadDll,LdrUnloadDll,NtDuplicateObject,NtOpenKey,NtOpenKey,SetUnhandledExceptionFilter,NtClose,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,LdrGetDllHandle,NtClose,GetFileAttributesW,NtQueryValueKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000317,0,NtQueryValueKey,LdrUnloadDll,NtOpenKey,SetUnhandledExceptionFilter,NtTerminateProcess,NtTerminateProcess,GetSystemTimeAsFileTime,NtClose,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,LdrGetDllHandle,LdrLoadDll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000318,0,LdrUnloadDll,GetSystemInfo,NtOpenKey,NtOpenMutant,LoadStringA,RegOpenKeyExW,NtClose,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,LdrGetDllHandle,RegQueryValueExW,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000319,0,LdrUnloadDll,NtOpenKey,NtOpenKey,SetUnhandledExceptionFilter,NtTerminateProcess,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,NtQueryValueKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000320,0,LdrUnloadDll,LdrUnloadDll,NtOpenKey,LoadStringW,NtTerminateProcess,SetUnhandledExceptionFilter,NtClose,GetSystemTimeAsFileTime,NtClose,LdrGetDllHandle,LdrGetDllHandle,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000321,0,LdrUnloadDll,NtOpenKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000322,0,LdrUnloadDll,LdrUnloadDll,NtOpenKey,NtOpenKey,LdrGetProcedureAddress,NtTerminateProcess,SetUnhandledExceptionFilter,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,NtClose,GetSystemTimeAsFileTime,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000323,0,LdrUnloadDll,GetFileType,NtOpenKey,NtOpenKey,SetUnhandledExceptionFilter,NtTerminateProcess,GetSystemTimeAsFileTime,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000324,0,LdrUnloadDll,GetSystemInfo,NtAllocateVirtualMemory,SetUnhandledExceptionFilter,NtOpenKey,NtTerminateProcess,NtClose,NtClose,LdrGetDllHandle,GetSystemTimeAsFileTime,SizeofResource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000325,0,NtQueryValueKey,LdrUnloadDll,RegCloseKey,NtQueryKey,SetUnhandledExceptionFilter,NtOpenKey,SetUnhandledExceptionFilter,NtClose,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,NtTerminateProcess,LdrGetDllHandle,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000326,0,LdrUnloadDll,SetUnhandledExceptionFilter,SetUnhandledExceptionFilter,NtOpenKey,GetSystemTimeAsFileTime,NtClose,GetSystemTimeAsFileTime,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000327,0,NtQueryValueKey,LdrUnloadDll,CoUninitialize,GetFileSize,LoadStringW,SetUnhandledExceptionFilter,NtClose,NtOpenKey,NtTerminateProcess,GetSystemTimeAsFileTime,LdrGetDllHandle,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000328,0,LdrUnloadDll,LdrGetDllHandle,NtAllocateVirtualMemory,NtOpenKey,NtClose,NtTerminateProcess,GetSystemTimeAsFileTime,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000329,0,LdrUnloadDll,RegEnumValueA,NtOpenKey,SetUnhandledExceptionFilter,SetUnhandledExceptionFilter,NtClose,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,LdrGetDllHandle,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000330,0,LdrUnloadDll,GetSystemTimeAsFileTime,SetUnhandledExceptionFilter,NtTerminateProcess,SetUnhandledExceptionFilter,NtClose,LdrGetDllHandle,NtQueryValueKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000331,0,NtQueryValueKey,LdrUnloadDll,SetUnhandledExceptionFilter,NtOpenKey,NtTerminateProcess,NtClose,GetSystemTimeAsFileTime,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000332,0,LdrUnloadDll,SetUnhandledExceptionFilter,NtOpenKey,NtTerminateProcess,NtClose,GetSystemTimeAsFileTime,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000333,0,LdrUnloadDll,GetSystemTimeAsFileTime,NtOpenKey,GetSystemTimeAsFileTime,SetUnhandledExceptionFilter,NtTerminateProcess,GetSystemTimeAsFileTime,LdrGetDllHandle,LdrGetDllHandle,RegQueryValueExW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000334,0,LdrUnloadDll,SizeofResource,NtOpenKey,NtOpenKey,NtTerminateProcess,SetUnhandledExceptionFilter,NtClose,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000335,0,LdrUnloadDll,LdrGetDllHandle,NtQueryKey,LdrGetProcedureAddress,SetUnhandledExceptionFilter,NtTerminateProcess,SetUnhandledExceptionFilter,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,NtClose,NtFreeVirtualMemory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000336,0,LdrUnloadDll,LdrUnloadDll,SetUnhandledExceptionFilter,SetUnhandledExceptionFilter,NtOpenKey,GetSystemTimeAsFileTime,NtClose,LdrGetDllHandle,NtQueryValueKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000337,0,LdrUnloadDll,NtOpenKey,SetUnhandledExceptionFilter,NtTerminateProcess,LdrLoadDll,NetShareEnum,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000338,0,LdrUnloadDll,GetSystemTimeAsFileTime,NtOpenKey,SetUnhandledExceptionFilter,SetUnhandledExceptionFilter,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,LdrGetDllHandle,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000339,0,LdrUnloadDll,NtOpenKey,SetUnhandledExceptionFilter,SetUnhandledExceptionFilter,NtTerminateProcess,NtTerminateProcess,LdrGetDllHandle,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000340,0,LdrUnloadDll,LoadStringW,NtCreateSection,NtOpenKey,SetUnhandledExceptionFilter,NtTerminateProcess,GetSystemTimeAsFileTime,NtClose,LdrGetDllHandle,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000341,0,LdrUnloadDll,LdrGetDllHandle,SetUnhandledExceptionFilter,NtTerminateProcess,NtTerminateProcess,NtClose,GetSystemTimeAsFileTime,NtQueryValueKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000342,0,LdrUnloadDll,NtDuplicateObject,LoadStringW,SetUnhandledExceptionFilter,NtOpenKey,NtTerminateProcess,NtTerminateProcess,GetSystemTimeAsFileTime,LdrGetDllHandle,NtClose,LdrGetDllHandle,NtQueryValueKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000343,0,NtQueryValueKey,LdrUnloadDll,NtOpenKey,SetUnhandledExceptionFilter,NtOpenKey,NtTerminateProcess,NtClose,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,LdrGetDllHandle,NtClose,LdrGetDllHandle,SetWindowsHookExW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000344,0,LdrUnloadDll,LoadStringW,RegCloseKey,NtOpenKey,RegOpenKeyExW,NtTerminateProcess,NtClose,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,LdrGetDllHandle,NtQueryValueKey,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000345,0,LdrUnloadDll,NtOpenKey,SetUnhandledExceptionFilter,NtOpenKey,NtTerminateProcess,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000346,0,LdrUnloadDll,GetSystemInfo,RegCloseKey,NtQueryKey,GetKeyState,RegOpenKeyExW,NtAllocateVirtualMemory,NtCreateFile,NtClose,NtOpenKeyEx,GetSystemTimeAsFileTime,LdrLoadDll,GetSystemTimeAsFileTime,NtTerminateProcess,LdrGetDllHandle,NtQueryValueKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000347,0,LdrUnloadDll,LdrUnloadDll,CoUninitialize,GetFileType,NtOpenKey,SetUnhandledExceptionFilter,NtClose,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,LdrGetDllHandle,LdrGetDllHandle,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000348,0,LdrUnloadDll,NtOpenKey,SetUnhandledExceptionFilter,NtUnmapViewOfSection,GetSystemTimeAsFileTime,NtClose,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000349,0,NtQueryValueKey,LdrUnloadDll,NtCreateSection,GetFileSize,LoadStringW,NtOpenKey,LdrGetProcedureAddress,SetErrorMode,SetErrorMode,NtClose,NtClose,GetSystemTimeAsFileTime,NtTerminateProcess,NtTerminateProcess,LdrGetDllHandle,LdrLoadDll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000350,0,LdrUnloadDll,LoadStringW,NtOpenKey,SetUnhandledExceptionFilter,LdrGetProcedureAddress,NtTerminateProcess,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,NtClose,LdrGetDllHandle,LdrGetDllHandle,NtQueryValueKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000351,0,NtQueryValueKey,LdrUnloadDll,RegCloseKey,NtOpenKey,NtOpenKey,SetUnhandledExceptionFilter,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,LdrGetDllHandle,CoInitializeSecurity,NtClose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000352,0,LdrUnloadDll,LdrUnloadDll,NtCreateSection,NtOpenKey,NtTerminateProcess,SetUnhandledExceptionFilter,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,LdrGetDllHandle,LdrGetDllHandle,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000353,0,LdrUnloadDll,LdrUnloadDll,RegCloseKey,NtOpenKey,LoadStringW,SetUnhandledExceptionFilter,NtTerminateProcess,GetSystemTimeAsFileTime,LdrGetDllHandle,LdrGetDllHandle,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000354,0,LdrUnloadDll,CoUninitialize,NtOpenKey,NtOpenKey,LoadStringW,SetUnhandledExceptionFilter,NtClose,NtClose,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,LdrGetDllHandle,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000355,0,NtQueryValueKey,LdrUnloadDll,NtOpenKey,SetUnhandledExceptionFilter,GetSystemTimeAsFileTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000356,0,LdrUnloadDll,LdrUnloadDll,SetUnhandledExceptionFilter,NtOpenKey,NtTerminateProcess,NtTerminateProcess,GetSystemTimeAsFileTime,LdrGetDllHandle,NtQueryValueKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000357,0,LdrUnloadDll,LdrUnloadDll,LoadStringW,SetUnhandledExceptionFilter,NtOpenKey,NtOpenKey,SetUnhandledExceptionFilter,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,NtClose,GetSystemTimeAsFileTime,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000358,0,LdrUnloadDll,LdrUnloadDll,LoadStringW,SetUnhandledExceptionFilter,NtOpenKey,NtTerminateProcess,NtCreateFile,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,NtClose,LdrGetDllHandle,NtQueryValueKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000359,0,LdrUnloadDll,LdrUnloadDll,NtOpenKey,NtTerminateProcess,SetUnhandledExceptionFilter,SetUnhandledExceptionFilter,NtClose,GetSystemTimeAsFileTime,NtClose,GetSystemTimeAsFileTime,NtQueryAttributesFile,LdrGetDllHandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000360,0,LdrUnloadDll,NtOpenKey,SetUnhandledExceptionFilter,GetFileType,NtTerminateProcess,NtClose,LdrGetDllHandle,NtQueryValueKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000361,0,LdrUnloadDll,NtDuplicateObject,RegCloseKey,OpenServiceW,LdrGetProcedureAddress,NtOpenKey,NtCreateFile,SetErrorMode,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,NtClose,NtTerminateProcess,GetSystemTimeAsFileTime,GetFileAttributesW,NtQueryValueKey,NtQueryAttributesFile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generated_00000362,0,LdrUnloadDll,LdrGetDllHandle,NtOpenKey,NtClose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
